complex_id,complex_name,name,type,sets,reps,weight,description,tips
1,1 — Спина (широчайшие),Тяга верхнего блока к груди,Масса,2,12.0,50,1,"1 — Спина (широчайшие)","Тяга верхнего блока к груди","Масса",2,12,50,"✅ **Техника выполнения:**\n\n1. **Исходное положение:**\n- Сядь под тренажёр, упри бёдра под валики.\n- Возьми перекладину **широким хватом** (чуть шире плеч, ладони от себя).\n- Посмотри немного вверх, **грудь вперёд, спина прямая.**\n\n2. **Движение:**\n- Сделай вдох, тяни перекладину **к верхней части груди** (примерно до ключиц).\n- **Локти двигаются вниз и назад**, как будто ты «сжимаешь» лопатки.\n- Не тяни за счёт рук — **представь, что ты локтями ведёшь движение.**\n- Задержись на секунду в нижней точке.\n\n3. **Возврат:**\n- На выдохе **медленно и контролируемо** вернись в верхнюю точку, **полностью растягивая спину.**","🔥 **Основные ошибки:**\n\n- Прокручиваешь плечи вперёд.\n- Тянешь за счёт бицепсов.\n- Перекладину тянешь за голову (**травмоопасно!**)",
1,1 — Спина (широчайшие),Тяга горизонтального блока,Масса,2,12.0,50,"Тяга к животу, сведение лопаток",
1,1 — Спина (широчайшие),Гиперэкстензии,Рельеф,2,15.0,0,Разгибание корпуса до линии с ногами,
1,1 — Спина (широчайшие),Жим гантелей лёжа,Рельеф,2,12.0,30,"Жим вверх, медленное опускание",
1,1 — Спина (широчайшие),Сгибание рук с гантелями,Масса,3,10.0,12,"Поочерёдно, без раскачки, фиксированные локти",
1,1 — Спина (широчайшие),Приседания с весом,Масса,3,12.0,24,"Спина прямая, вес на пятках, глубина до параллели",
,,,,,,,,
2,2 — Грудь,Жим к груди (тренажёр или гантели),Масса,3,10.0,,"Гантели или тренажёр, жим вверх, полный контроль, без рывков",
2,2 — Грудь,Бабочка (pec deck fly),Рельеф,3,12.0,,"Сведение рук в тренажёре, локти немного согнуты, фокус на грудных",
2,2 — Грудь,Тяга верхнего блока (узкий хват),Рельеф,2,15.0,,"Тяга к груди нейтральным хватом, вдоль тела",
2,2 — Грудь,Сгибание рук на бицепс (EZ-гриф или гантели),Масса,3,10.0,,"Фокус на контроле, без раскачки, рост бицепса",
2,2 — Грудь,Отведение рук в стороны в наклоне,Рельеф,2,15.0,,"Изоляция задней дельты, небольшие гантели",
2,2 — Грудь,Жим ногами (платформа),Масса,3,12.0,,"Ноги чуть шире плеч, не выпрямляй колени до конца, акцент на квадрицепсы",
,,,,,,,,
3,3 — Ноги (квадрицепсы),Приседания с гантелями или штангой,Масса,2,12.0,,"Глубокие приседы до параллели, вес на пятках, корпус ровный",
3,3 — Ноги (квадрицепсы),Жим ногами в тренажёре,Масса,2,12.0,,"Стопы на ширине плеч, движение до 90°, не выпрямлять колени полностью",
3,3 — Ноги (квадрицепсы),Выпады на месте с гантелями,Масса,2,10.0,,"Шаг вперёд, спина прямая, не заваливать колено за носок",
